Enclose Type,English,Danish
,,
longdiv,long division,lang division
actuarial,actuarial symbol,aktuarmæssigt symbol
radical,square root,kvadratrod
box,box,kasse
roundedbox,rounded box,afrundet kasse
circle,circle,cirkel
left,left vertical-line,venstre lodrette linje
right,right vertical-line,højre lodret linje
top,overbar,overstreg
bottom,underbar,understreg
updiagonalstrike,crossout,gennemstreg
downdiagonalstrike,crossout,gennemstreg
verticalstrike,vertical strikeout,lodret gennemstreg
horizontalstrike,crossout,gennemstreg
madruwb,Arabic factorial symbol,arabisk fakultetsymbol
updiagonalarrow,diagonal arrow,diagonal pil
phasorangle,phasor angle,fasevinkel
unknown,long division,lang division
