Proc Message,English,Danish
,,
START,Start,Start
FRAC_V,Fraction,Brøk
FRAC_B,Frac,Brøk
FRAC_S,Frac,Brøk
END,End,Slut
FRAC_OVER,Over,Over
TWICE,Twice,Dobbelt
NEST_FRAC,Nest,IndlejrBrøk
ENDFRAC,EndFrac,SlutBrøk
SUPER,Super,Hævet
SUB,Sub,Sænket
SUP,Sup,Hævet
SUPERSCRIPT,Superscript,Hævet
SUBSCRIPT,Subscript,Sænket
BASELINE,Baseline,Grundlinje
BASE,Base,Basis
NESTED,Nested,Indlejret
NEST_ROOT,Nest,IndlejrRod
STARTROOT,StartRoot,StartRod
ENDROOT,EndRoot,SlutRot
ROOTINDEX,RootIndex,RodEksponent
ROOT,Root,Rod
INDEX,Index,Eksponent
UNDER,Under,Under
UNDERSCRIPT,Underscript,Undertekst
OVER,Over,Over
OVERSCRIPT,Overscript,Overtekst
