Enumerator Value,Number English,Number Danish,
0,zero,nul,
1,one,en,et in some cases
2,two,to,
3,three,tre,
4,four,fire,
5,five,fem,
6,six,seks,
7,seven,syv,
8,eight,otte,
9,nine,ni,
10,ten,ti,
11,eleven,elleve,
12,twelve,tolv,
13,thirteen,tretten,
14,fourteen,fjorten,
15,fifteen,femten,
16,sixteen,seksten,
17,seventeen,sytten,
18,eighteen,atten,
19,nineteen,nitten,
,,,
20,twenty,tyve,
21,twenty-one,enogtyve,
22,twenty-two,toogtyve,
,twenty-three,treogtyve,
,twenty-four,fireogtyve,
,twenty-five,femogtyve,
,twenty-sic,seksogtyve,
,twenty-seven,syvogtyve,
,twenty-eight,otteogtyve,
,twenty-nine,niogtyve,
,,,
30,thirty,tredve,
,thirty-one,enogtredve,
,,,
40,forty,fyrre,
50,fifty,halvtreds,
60,sixty,tres,
70,seventy,halvfjerds,
80,eighty,firs,
90,ninety,halvfems,
 ,,,
100,hundred,et hundrede,
101,hundred and one,et hundrede og en,
,,,
 ,,,
200,two hundred,to hundrede,
300,three hundred,tre hundrede,
400,four hundred,fire hundrede,
500,five hundred,fem hundrede,
600,six hundred,seks hundrede,
700,seven hundred,syv hundrede,
800,eight hundred,otte hundrede,
900,nine hundred,ni hundrede,
,,,
1000,thousand,et tusind,
2000,two thousand,to tusind,
,,,
1000000,million,en million,
2000000,two million,to millioner,
 ,,,
1000000000,billion,en milliard,
2000000000,two billion,to milliarder,
 ,,,
10^12,trillion,en billion,
10^15,quadrillion,en billiard,
10^18,quintillion,en trillion,
10^21,sextillion,en trilliard,
10^24,septillion,en kvadrillion,
10^27,octillion,en kvadrilliard,
10^30,nonillion,en kvintillion,
10^33,decillion,en kvintilliard,
,,,
,,in denmark we use the long scale,
,,https://www.languagesandnumbers.com/articles/en/long-and-short-numeric-scales/,
