Proc Message,English,Swedish,,
,,,,
START,Start,start,,
FRAC_V,Fraction,bråk,,
FRAC_B,Frac,bråk,,
FRAC_S,Frac,bråk,,
END,End,slut,,
FRAC_OVER,Over,över,,
TWICE,Twice,dubbelt,,
NEST_FRAC,Nest,näste,,
ENDFRAC,EndFrac,slutbråk,,
SUPER,Super,super,,
SUB,Sub,del,sub,under
SUP,Sup,,,
SUPERSCRIPT,Superscript,upphöjt,,
SUBSCRIPT,Subscript,nedsänkt,,
BASELINE,Baseline,baslinje,,
BASE,Base,bas,,
NESTED,Nested,nästlad,,
NEST_ROOT,Nest,näste,,
STARTROOT,StartRoot,startrot,,
ENDROOT,EndRoot,slutrot,,
ROOTINDEX,RootIndex,rotindex,,
ROOT,Root,rot,,
INDEX,Index,index,,
UNDER,Under,under,,
UNDERSCRIPT,Underscript,underskrift,,
OVER,Over,över,,
OVERSCRIPT,Overscript,överskrift,,
